agency_name,received_in_rp,outstanding_from_prev_rp,statutorytimeline,total_for_rp,closed_in_rp,carried_over_to_rp,media,academia,business,organization,public,declined_to_identify,abandoned_in_rp,neither_confirm_nor_deny,s13exemp,s15exemp,s16exemp,s20exemp,fiscal_year,people_years,total_costs
Administrative Tribunals Support Service of Canada,37,1,11,38,32,6,15,2,3,8,9,0,6,0,0,0,7,0,2015-2016,2.08,177291
Agriculture and Agri-Food Canada,119,82,74,201,142,59,22,10,29,12,45,1,4,0,1,14,20,99,2015-2016,6.89,611418
Asia Pacific Foundation of Canada,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,3000
Atlantic Canada Opportunities Agency,18,10,9,28,25,3,0,0,9,0,9,0,1,0,2,1,5,19,2015-2016,2.11,168817
Atlantic Pilotage Authority Canada,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Atomic Energy of Canada Limited,58,1,49,59,53,6,7,6,14,3,26,2,0,0,0,0,5,9,2015-2016,2,351539
Bank of Canada,62,23,42,85,70,15,40,0,1,0,21,0,21,0,11,12,17,22,2015-2016,5.69,612397
Belledune Port Authority,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,1555
British Columbia Treaty Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Business Development Bank of Canada,3,0,2,3,3,0,2,0,0,0,1,0,0,1,0,0,0,0,2015-2016,3,89442
Canada Border Services Agency,5532,1086,3217,6618,5012,1606,222,108,1976,205,2869,152,469,6,532,653,2276,45,2015-2016,61.46,5444118
Canada Council for the Arts,45,5,44,50,49,1,2,6,1,32,4,0,3,0,0,0,0,4,2015-2016,1.48,133163
Canada Deposit Insurance Corporation,4,0,1,4,2,2,3,0,0,0,1,0,1,0,0,0,0,0,2015-2016,1,105974
Canada Development Investment Corporation,2,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2015-2016,0,61608
Canada Economic Development for Québec Regions,12,5,7,17,13,4,0,1,0,2,9,0,0,0,0,0,0,6,2015-2016,1.36,99094
Canada Eldor Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Canada Foundation for Innovation,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.09,14774
Canada GEN Investment Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Canada Hibernia Holding Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Canada Lands Company CLC Limited (Canada Lands Company Limited),5,3,5,8,8,0,0,0,1,0,4,0,3,0,0,0,0,1,2015-2016,0.2,15000
Canada Lands Company Limited,2,0,0,2,2,0,1,0,0,0,1,0,2,0,0,0,0,0,2015-2016,0.1,5000
Canada Mortgage and Housing Corporation,53,2,32,55,47,8,28,0,8,9,8,0,1,0,0,0,0,16,2015-2016,1.27,267460
Canada Post Corporation,133,29,57,162,136,26,45,0,21,11,56,0,36,0,0,0,15,27,2015-2016,4.35,400602
Canada Revenue Agency,3139,926,1006,4065,2572,1493,202,24,907,40,1789,177,573,1,74,43,655,47,2015-2016,63.5,4738983
Canada School of Public Service,28,5,23,33,29,4,4,0,9,0,13,2,0,0,0,0,2,20,2015-2016,1.98,151100
Canada Science and Technology Museum Corporation,2,0,1,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2015-2016,0.15,9553
Canada-Newfoundland and Labrador Offshore Petroleum Board,9,0,2,9,6,3,4,0,2,0,3,0,0,0,0,0,0,7,2015-2016,1,90846
Canada-Nova-Scotia Offshore Petroleum Board,7,0,7,7,7,0,1,0,4,2,0,0,0,0,0,0,0,1,2015-2016,0.2,18300
Canadian Air Transport Security Authority,27,5,10,32,25,7,23,0,0,0,4,0,5,0,1,7,21,10,2015-2016,1.2,102000
Canadian Broadcasting Corporation,102,13,65,115,108,7,24,2,8,9,57,2,13,0,0,0,13,35,2015-2016,6.5,520300
Canadian Centre for Occupational Health and Safety,3,0,3,3,3,0,1,0,0,0,2,0,0,0,0,0,0,0,2015-2016,1,7685
Canadian Commercial Corporation,40,2,14,42,23,19,24,0,1,11,4,0,4,0,3,6,0,17,2015-2016,1.5,101710
Canadian Dairy Commission,2,0,1,2,2,0,1,0,1,0,0,0,0,0,0,1,3,2,2015-2016,0.05,4600
Canadian Environmental Assessment Agency,39,4,24,43,35,8,4,0,14,18,2,1,5,0,1,1,0,7,2015-2016,4,261948
Canadian Food Inspection Agency,339,69,207,408,356,52,66,13,133,42,85,0,31,0,44,29,45,211,2015-2016,12.83,958684
Canadian Grain Commission,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,2015-2016,0.1,5996
Canadian Heritage,358,102,210,460,406,54,112,17,37,8,45,139,33,0,29,46,24,97,2015-2016,9.15,832775
Canadian Human Rights Commission,34,3,27,37,36,1,1,3,9,0,21,0,4,1,0,4,1,4,2015-2016,4.84,244082
Canadian Institutes of Health Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Canadian Museum for Human Rights,3,3,4,6,6,0,3,0,0,0,0,0,2,0,1,0,1,6,2015-2016,0.3,29100
Canadian Museum of History and Canadian War Museum,20,2,9,22,21,1,16,0,0,1,3,0,1,0,0,0,3,2,2015-2016,0.75,44758
Canadian Museum of Immigration at Pier 21,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,3750
Canadian Museum of Nature,3,0,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2015-2016,3,17675
Canadian Northern Economic Development Agency,9,4,4,13,13,0,0,0,0,0,9,0,1,0,1,0,3,12,2015-2016,0.35,43050
Canadian Nuclear Safety Commission,157,24,116,181,171,10,7,6,13,115,16,0,4,0,13,21,13,57,2015-2016,3.15,319944
Canadian Race Relations Foundation,2,0,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2015-2016,0.04,2600
Canadian Radio-television and Telecommunications Commission,66,6,26,72,51,21,20,0,19,7,20,0,4,0,1,0,9,21,2015-2016,4.75,374268
Canadian Security Intelligence Service,669,90,580,759,708,51,161,79,26,0,334,69,42,386,93,304,204,2,2015-2016,7,586948
Canadian Space Agency,12,4,4,16,12,4,6,1,2,1,2,0,2,0,2,2,1,12,2015-2016,1.07,112291
Canadian Transportation Agency,15,6,9,21,21,0,1,0,10,1,2,1,0,0,0,0,0,23,2015-2016,1.1,88247
Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,12,2,2,14,7,7,5,0,0,1,4,2,1,0,0,0,3,0,2015-2016,0.5,37382
Communication Security Establishment Canada,92,37,48,129,87,42,49,8,0,4,17,14,16,5,20,79,24,4,2015-2016,5.02,440359
Copyright Board Canada,7,0,0,7,2,5,1,0,0,0,6,0,0,0,0,0,0,0,2015-2016,0.25,28588
Correctional Service of Canada,646,219,292,865,617,248,146,14,34,30,421,1,185,1,17,9,201,47,2015-2016,13,936810
Defence Construction Canada,36,6,19,42,32,10,2,4,18,3,9,0,7,0,0,1,3,17,2015-2016,3,178790
Department of Finance Canada,622,118,303,740,560,180,181,17,101,75,100,148,29,0,43,72,182,169,2015-2016,14.75,1118499
Department of Justice Canada,574,82,412,656,550,106,132,40,65,35,187,115,51,1,49,54,29,34,2015-2016,16.77,1500234
Destination Canada,2,0,2,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,2015-2016,0.1,12000
Elections Canada,46,21,29,67,54,13,8,2,8,15,8,5,4,0,0,1,10,5,2015-2016,1.85,179106
Employment and Social Development Canada,1572,246,787,1818,1439,379,257,19,395,105,492,304,190,0,16,41,189,170,2015-2016,15.43,1169336
Environment and Climate Change Canada,1558,258,1156,1816,1535,281,132,10,1076,112,94,134,124,1,26,16,65,165,2015-2016,17.3,915705
Exinvest Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.01,1459
Export Development Canada,13,2,9,15,15,0,5,0,4,2,2,0,2,0,1,2,5,3,2015-2016,1.58,144420
