X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X91,X94,X95,X96,X97,X98,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X136,X137,X138,X139,X140,X141,X142,X143,fiscal_year,X742,X736
Administrative Tribunals Support Service of Canada,37,1,38,32,6,15,2,3,8,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,2.08,177291
Agriculture and Agri-Food Canada,119,82,201,142,59,22,10,29,12,45,1,4,0,0,1,1,0,3,11,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,71,0,24,4,0,0,0,2015-2016,6.89,611418
Asia Pacific Foundation of Canada,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,3000
Atlantic Canada Opportunities Agency,18,10,28,25,3,0,0,9,0,9,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,10,0,5,4,0,0,0,2015-2016,2.11,168817
Atlantic Pilotage Authority Canada,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Atomic Energy of Canada Limited,58,1,59,53,6,7,6,14,3,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,2015-2016,2,351539
Bank of Canada,62,23,85,70,15,40,0,1,0,21,0,21,5,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,1,13,0,7,1,0,0,0,2015-2016,5.69,612397
Belledune Port Authority,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,1555
British Columbia Treaty Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Business Development Bank of Canada,3,0,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,3,89442
Canada Border Services Agency,5532,1086,6618,5012,1606,222,108,1976,205,2869,152,469,478,31,23,50,0,0,79,47,527,27,22,8,76,1394,1,42,0,2,788,0,0,0,0,0,0,0,0,0,0,2,14,2,24,3,0,0,0,2015-2016,61.46,5444118
Canada Council for the Arts,45,5,50,49,1,2,6,1,32,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2015-2016,1.48,133163
Canada Deposit Insurance Corporation,4,0,4,2,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,105974
Canada Development Investment Corporation,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,61608
Canada Economic Development for Québec Regions,12,5,17,13,4,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,2015-2016,1.36,99094
Canada Eldor Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Canada Foundation for Innovation,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.09,14774
Canada GEN Investment Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Canada Hibernia Holding Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Canada Lands Company CLC Limited (Canada Lands Company Limited),5,3,8,8,0,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015-2016,0.2,15000
Canada Lands Company Limited,2,0,2,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.1,5000
Canada Mortgage and Housing Corporation,53,2,55,47,8,28,0,8,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,1,0,0,0,2015-2016,1.27,267460
Canada Post Corporation,133,29,162,136,26,45,0,21,11,56,0,36,0,0,0,0,0,0,0,0,0,0,1,1,5,4,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,14,0,8,4,0,0,0,2015-2016,4.35,400602
Canada Revenue Agency,3139,926,4065,2572,1493,202,24,907,40,1789,177,573,35,2,37,2,0,4,25,14,0,9,9,1,201,562,0,5,1,0,69,0,0,0,0,0,0,0,0,0,0,0,25,0,21,1,0,0,0,2015-2016,63.5,4738983
Canada School of Public Service,28,5,33,29,4,4,0,9,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,2015-2016,1.98,151100
Canada Science and Technology Museum Corporation,2,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.15,9553
Canada-Newfoundland and Labrador Offshore Petroleum Board,9,0,9,6,3,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,2015-2016,1,90846
Canada-Nova-Scotia Offshore Petroleum Board,7,0,7,7,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-2016,0.2,18300
Canadian Air Transport Security Authority,27,5,32,25,7,23,0,0,0,4,0,5,1,0,0,0,0,0,0,0,7,1,3,3,1,2,0,1,2,1,11,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,2015-2016,1.2,102000
Canadian Broadcasting Corporation,102,13,115,108,7,24,2,8,9,57,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,2,0,0,0,2015-2016,6.5,520300
Canadian Centre for Occupational Health and Safety,3,0,3,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,7685
Canadian Commercial Corporation,40,2,42,23,19,24,0,1,11,4,0,4,3,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6,5,0,0,0,2015-2016,1.5,101710
Canadian Dairy Commission,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2015-2016,0.05,4600
Canadian Environmental Assessment Agency,39,4,43,35,8,4,0,14,18,2,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,2015-2016,4,261948
Canadian Food Inspection Agency,339,69,408,356,52,66,13,133,42,85,0,31,17,15,12,1,0,0,29,0,0,0,0,0,1,5,5,0,0,0,34,1,0,0,0,0,0,0,0,0,0,7,69,0,96,39,0,0,0,2015-2016,12.83,958684
Canadian Grain Commission,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-2016,0.1,5996
Canadian Heritage,358,102,460,406,54,112,17,37,8,45,139,33,9,0,20,9,0,0,45,1,0,0,0,0,1,3,0,7,0,0,13,0,0,1,0,0,0,0,0,0,0,1,79,0,12,5,0,0,0,2015-2016,9.15,832775
Canadian Human Rights Commission,34,3,37,36,1,1,3,9,0,21,0,4,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2015-2016,4.84,244082
Canadian Institutes of Health Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Canadian Museum for Human Rights,3,3,6,6,0,3,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2015-2016,0.3,29100
Canadian Museum of History and Canadian War Museum,20,2,22,21,1,16,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2015-2016,0.75,44758
Canadian Museum of Immigration at Pier 21,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,3750
Canadian Museum of Nature,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,3,17675
Canadian Northern Economic Development Agency,9,4,13,13,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,4,4,0,0,0,2015-2016,0.35,43050
Canadian Nuclear Safety Commission,157,24,181,171,10,7,6,13,115,16,0,4,5,3,5,1,0,0,7,7,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,5,35,0,16,1,0,0,0,2015-2016,3.15,319944
Canadian Race Relations Foundation,2,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.04,2600
Canadian Radio-television and Telecommunications Commission,66,6,72,51,21,20,0,19,7,20,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0,7,2,0,0,0,2015-2016,4.75,374268
Canadian Security Intelligence Service,669,90,759,708,51,161,79,26,0,334,69,42,81,1,10,9,1,0,56,2,246,10,5,139,60,147,0,16,2,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2015-2016,7,586948
Canadian Space Agency,12,4,16,12,4,6,1,2,1,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,2,0,0,0,2015-2016,1.07,112291
Canadian Transportation Agency,15,6,21,21,0,1,0,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,2,0,0,0,2015-2016,1.1,88247
